Altium Designer Pick and Place Locations
\\nestor\brettjg\IotMedicine\ESE516_ExampleBaseProject_V1\Project Outputs for ESE516_ExampleBaseProject_V1\Pick Place\Pick Place for ESE516_BareBoardTemplate.csv

========================================================================================================================
File Design Information:

Date:       28/05/19
Time:       17:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C21","Cap","TopLayer","C0805","22.9616","37.3754","90","Capacitor"
"C20","Cap","TopLayer","1608[0603]","25.8572","47.9298","0","Capacitor"
"C19","Cap","TopLayer","C0805","20.5232","37.4396","90","Capacitor"
"C18","100nF 16V","TopLayer","CAPC0603(1608)100_N","54.7116","19.8120","0","CAP 100nF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C15","CAP 1uF 16V","TopLayer","CAPC0603(1608)100_N","55.5116","42.8752","270","CAP 1uF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C14","CAP 18pF 10V","TopLayer","CAPC0805(2012)75_L","38.6842","30.8356","0","CAP 18pF 10V ±1% 0805 (2012 Metric) Thickness 0.75mm SMD"
"C13","CAP 18pF 10V","TopLayer","CAPC0805(2012)75_L","38.6842","28.7274","0","CAP 18pF 10V ±1% 0805 (2012 Metric) Thickness 0.75mm SMD"
"C12","CAP 10uF 16V","TopLayer","CAPC0805(2012)145_L","37.8968","19.9666","90","CAP 10uF 16V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
"C11","CAP 10uF 16V","TopLayer","CAPC0805(2012)145_L","32.7914","15.6972","0","CAP 10uF 16V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
"C10","CAP 10uF 16V","TopLayer","CAPC0805(2012)145_L","16.0782","15.5194","90","CAP 10uF 16V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
"C9","Cap","TopLayer","1608[0603]","7.2644","49.8094","270","Capacitor"
"C8","47pF 16V","TopLayer","CAPC0603(1608)100_L","13.9192","49.8094","90","CAP 47pF 16V ±0.5pF 0603 (1608 Metric) Thickness 1mm SMD"
"C7","47pF 16V","TopLayer","CAPC0603(1608)100_L","8.8900","49.8094","90","CAP 47pF 16V ±0.5pF 0603 (1608 Metric) Thickness 1mm SMD"
"C6","4.7uF 16V","TopLayer","CAPC0805(2012)145_N","1.9050","52.6288","270","CAP 4.7uF 16V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
"C5","100nF 16V","TopLayer","CAPC0603(1608)100_N","3.7592","52.7304","270","CAP 100nF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C4","10nF 16V","TopLayer","CAPC0603(1608)100_L","8.3312","53.7464","0","CAP 10nF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C1","Cap","TopLayer","1608[0603]","4.9784","47.3202","0","Capacitor"
"B1","PTS810 SJK 250 SMTR LFS","TopLayer","PTS810_SJK_250_SMTR_LFS","37.1348","15.5702","0","SWITCH TACTILE SPST-NO 0.05A 16V Tactile Switch SPST-NO Top Actuated Surface Mount"
